1,0.0592
2,0.1124
3,0.1421
4,0.1460
5,0.1949
6,0.1978
7,0.2160
8,0.2281
9,0.2350
10,0.2390
11,0.2611
12,0.2864
13,0.2981
14,0.3327
15,0.3406
16,0.3682
17,0.3683
18,0.3835
19,0.3892
20,0.4048
21,0.4048
22,0.4072
23,0.4107
24,0.4113
25,0.4150
26,0.4151
27,0.4169
28,0.4219
29,0.4251
30,0.4436
31,0.4492
32,0.4875
33,0.5055
34,0.5107
35,0.5179
36,0.5365
37,0.5366
38,0.6045
39,0.6097
40,0.6335
41,0.6480
42,0.6992
43,0.6998
44,0.7391
45,0.7443
46,0.7500
47,0.7703
48,0.7926
49,0.7956
50,0.8053
51,0.8054
52,0.8089
53,0.8096
54,0.8096
55,0.8098
56,0.8105
57,0.8105
58,0.8400
59,0.8549
60,0.8880
61,0.8919
62,0.9796
63,0.9808
64,0.9886
65,1.0359
66,1.0457
67,1.0699
68,1.0700
69,1.0731
70,1.0851
71,1.0943
72,1.1157
73,1.1371
74,1.1533
75,1.1821
76,1.1914
77,1.2144
78,1.2144
79,1.2155
80,1.2160
81,1.2161
82,1.2162
83,1.2259
84,1.2329
85,1.2384
86,1.2609
87,1.2792
88,1.2801
89,1.2868
90,1.3100
91,1.3355
92,1.3763
93,1.3792
94,1.4146
95,1.4625
96,1.4681
97,1.4736
98,1.5059
99,1.5337
100,1.5630
