1,0.0000
2,-0.1463
3,0.0000
4,-0.0000
5,-0.0000
6,0.0000
7,0.0000
8,0.1171
9,-0.0525
10,-0.0000
11,1.2453
12,-0.0003
13,-0.0000
14,0.0000
15,0.0000
16,-0.1543
17,-0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0743
23,0.0000
24,-0.0795
25,0.0001
26,-0.0000
27,-0.0000
28,0.0000
29,-0.0190
30,0.6327
31,0.0009
32,-0.0000
33,-0.0000
34,-0.0272
35,-0.0000
36,0.0000
37,-0.0000
38,-0.0000
39,-0.0028
40,-0.0000
41,0.0000
42,-0.0341
43,0.0000
44,-0.0000
45,-0.0000
46,-0.0000
47,0.0000
48,0.0000
49,-0.0000
50,-0.0001
51,0.0025
52,-0.0000
53,-0.0000
54,0.1134
55,0.0000
56,-0.0026
57,0.0000
58,-0.0000
59,-0.0000
60,0.0000
61,0.0000
62,-0.0396
63,-0.0000
64,0.0000
65,0.0041
66,0.0000
67,-0.0162
68,-0.0000
69,-0.0000
70,-0.0000
71,0.4318
72,0.0001
73,0.0000
74,0.0000
75,-0.0043
76,-0.0000
77,0.0004
78,0.0000
79,0.0000
80,0.0000
81,0.0106
82,-0.0000
83,0.2385
84,-0.0000
85,0.0000
86,-0.0000
87,-0.0000
88,-0.0000
89,-0.0002
90,0.0000
91,-0.0036
92,0.7176
93,-0.0000
94,0.0051
95,0.0000
96,-0.0222
97,0.0000
98,-0.0001
99,-0.0000
100,0.0000
