Girder height [m], Param. type, Eff. thickness [m], Solid area [m^2], I11 [m^4], I12 [m^4], I22 [m^4], It [m^4], Girder mass [kg/m], Total mass [kg/m], Girder i11 [kg m^2/m], Girder i12 [kg m^2/m], Girder i22 [kg m^2/m], i11 [kg m^2/m], i22 [kg m^2/m], Perimeter [m], Inner area [m^2]
5.5, 2021, 0.0225, 1.7835285714285714, 8.808828571428572, -1.2426714285714284e-09, 181.65571428571428, 29.050615384615384, 4815.5, 13055.404370780185, 23784.0, 0.00202361, 490470.0, 28358.967268008386, 1123165.7405535323, 72.8765672773479, 145.33858902876673
5.65, 2021, 0.0225, 1.7880857142857143, 8.936757142857143, -1.8635714285714284e-09, 182.95714285714286, 29.091730769230768, 4827.8, 13071.206206283754, 24129.0, 0.00178334, 493983.0, 28937.66330167443, 1127901.779287671, 73.0790651575475, 145.65472695617223
5.8, 2021, 0.0225, 1.7930285714285714, 9.047414285714286, 7.578999999999999e-10, 184.38857142857142, 29.118615384615385, 4841.2, 13087.924394932728, 24428.0, 0.00418835, 497850.0, 29476.884053794747, 1132983.2388390142, 73.29854269981793, 145.95428565364892
5.95, 2021, 0.0225, 1.7982285714285715, 9.138257142857142, -1.4917142857142857e-09, 185.91571428571427, 29.125384615384615, 4855.2, 13104.832992813885, 24673.0, 0.00533585, 501974.0, 29967.921419007795, 1138293.3180882833, 73.52983167991621, 146.2168674068089
6.1, 2021, 0.0225, 1.8036285714285714, 9.206842857142858, -3.7094285714285714e-10, 187.51714285714286, 29.107384615384614, 4869.8, 13121.761981677038, 24859.0, 0.00691053, 506295.0, 30405.10044485022, 1143756.5491431062, 73.76967046398927, 146.42712334584382
5.5, 2021, 0.0225, 1.7835285714285714, 8.808828571428572, -1.2426714285714284e-09, 181.65571428571428, 29.050615384615384, 4815.5, 13055.404370780185, 23784.0, 0.00202361, 490470.0, 28358.967268008386, 1123165.7405535323, 72.8765672773479, 145.33858902876673
3.5, 2022, 0.035, 2.3970142857142855, 5.1554, -0.6723742857142857, 186.21285714285713, 18.31953846153846, 6471.9, 13056.397807890206, 13920.0, -1815.4, 502776.0, 15327.716512221252, 857625.2198866511, 63.12570959762412, 86.169940990088
3.625, 2022, 0.035, 2.3982428571428573, 5.46, -0.6774071428571429, 186.30857142857144, 19.254846153846152, 6475.2, 13084.054426839573, 14742.0, -1829.0, 503033.0, 16247.229912724064, 859462.1728663492, 63.160844806299714, 88.36880242301696
3.75, 2022, 0.035, 2.3994714285714287, 5.763742857142857, -0.6822014285714286, 186.3942857142857, 20.164153846153845, 6478.6, 13110.603863866072, 15562.0, -1841.9, 503265.0, 17169.556611301385, 861195.8189726656, 63.19598001497531, 90.45868215457588
3.875, 2022, 0.035, 2.4007, 6.065457142857142, -0.68676, 186.47142857142856, 21.044423076923078, 6481.9, 13135.846118969703, 16377.0, -1854.2, 503474.0, 18091.5992452212, 862828.1582056005, 63.23111522365092, 92.4395801847648
4.0, 2022, 0.035, 2.4019285714285714, 6.363957142857143, -0.6910814285714286, 186.54142857142858, 21.892346153846155, 6485.2, 13159.881192150466, 17183.0, -1865.9, 503660.0, 19009.24158953395, 864359.1905651536, 63.26625043232651, 94.31149651358368
4.125, 2022, 0.035, 2.4031571428571428, 6.658, -0.6951671428571429, 186.60142857142858, 22.70476923076923, 6488.5, 13182.709083408361, 17977.0, -1876.9, 503825.0, 19919.34855707253, 865790.916051325, 63.3013856410021, 96.07443114103252
4.25, 2022, 0.035, 2.4044, 6.946271428571428, -0.6990171428571429, 186.65571428571428, 23.47926923076923, 6491.9, 13204.429792743387, 18755.0, -1887.3, 503971.0, 20817.766198452286, 867125.334664115, 63.3365208496777, 97.72838406711134
4.375, 2022, 0.035, 2.4056285714285712, 7.227514285714285, -0.7026328571428572, 186.70285714285714, 24.21296153846154, 6495.2, 13224.843320155547, 19514.0, -1897.1, 504098.0, 21701.32170207102, 868362.4464035232, 63.3716560583533, 99.27335529182014
4.5, 2022, 0.035, 2.406857142857143, 7.500342857142857, -0.70601, 186.74285714285713, 24.903692307692307, 6498.5, 13244.049665644838, 20251.0, -1906.2, 504207.0, 22566.823394108993, 869503.2512695497, 63.4067912670289, 100.70934481515891
